SubjectID,Condition,Level,#Colllision_1,#Colllision_2
0,0,1,0,0
0,0,2,2,8
0,0,3,6,2
1,1,1,0,0
1,1,2,7,1
1,1,3,0,0
2,0,1,0,0
2,0,2,6,0
2,0,3,0,1
3,1,1,1,1
3,1,2,0,0
3,1,3,0,1
4,0,1,0,0
4,0,2,0,0
4,0,3,0,1
5,1,1,0,0
5,1,2,0,2
5,1,3,0,2
6,0,1,0,0
6,0,2,0,0
6,0,3,0,1
7,1,1,0,4
7,1,2,0,14
7,1,3,7,7
8,0,1,0,0
8,0,2,0,0
8,0,3,3,0
9,1,1,0,0
9,1,2,0,0
9,1,3,1,4
10,0,1,2,4
10,0,2,6,11
10,0,3,17,14
11,1,1,0,0
11,1,2,0,0
11,1,3,3,2
12,0,1,0,1
12,0,2,2,4
12,0,3,0,2
15,1,1,2,0
15,1,2,10,1
15,1,3,14,2
16,0,1,1,1
16,0,2,1,0
16,0,3,0,0
17,1,1,0,0
17,1,2,1,0
17,1,3,4,0
18,0,1,0,0
18,0,2,0,1
18,0,3,0,0
19,1,1,3,0
19,1,2,14,4
19,1,3,6,6
20,0,1,1,2
20,0,2,0,3
20,0,3,5,4
22,0,1,0,0
22,0,2,0,0
22,0,3,1,0
23,1,1,0,0
23,1,2,0,0
23,1,3,16,5
24,0,1,0,0
24,0,2,0,2
24,0,3,2,1
25,1,1,7,0
25,1,2,2,7
25,1,3,10,6
26,0,1,0,2
26,0,2,16,8
26,0,3,7,1
27,1,1,2,1
27,1,2,7,5
27,1,3,7,8
28,1,1,0,0
28,1,2,0,0
28,1,3,0,0
29,0,1,0,0
29,0,2,0,6
29,0,3,2,11
30,1,1,2,2
30,1,2,2,3
30,1,3,3,7
