SubjectID,Condition,Gender,Age,GamingExperience,FPSGameExperience,VRExperience,GoodAtMaze,#EasyColllision_1,#EasyColllision_2,#MediumColllision_1,#MediumColllision_2,#HardColllision_1,#HardColllision_2,#AvgColllision_1,#AvgHardColllision_2
0,0,0,35,3,3,1,4,0,0,2,8,6,2,2.666667,3.333333
1,1,0,32,6,2,1,4,0,0,7,1,0,0,2.333333,0.3333333
2,0,0,18,5,4,4,5,0,0,6,0,0,1,2,0.3333333
3,1,1,19,2,1,1,4,1,1,0,0,0,1,0.3333333,0.6666667
4,0,0,20,4,4,1,4,0,0,0,0,0,1,0,0.3333333
5,1,0,21,5,4,2,4,0,0,0,2,0,2,0,1.333333
6,0,1,22,2,1,1,2,0,0,0,0,0,1,0,0.3333333
7,1,0,21,3,2,2,4,0,4,0,14,7,7,2.333333,8.333333
8,0,0,20,5,4,1,4,0,0,0,0,3,0,1,0
9,1,0,20,5,4,1,4,0,0,0,0,1,4,0.3333333,1.333333
10,0,1,20,2,2,1,3,2,4,6,11,17,14,8.333333,9.666667
11,1,1,20,4,4,1,4,0,0,0,0,3,2,1,0.6666667
12,0,1,21,4,2,1,4,0,1,2,4,0,2,0.6666667,2.333333
15,1,1,21,1,1,1,4,2,0,10,1,14,2,8.666667,1
16,0,1,22,4,4,2,3,1,1,1,0,0,0,0.6666667,0.3333333
17,1,0,21,4,1,1,3,0,0,1,0,4,0,1.666667,0
18,0,1,19,4,3,4,2,0,0,0,1,0,0,0,0.3333333
19,1,0,19,3,3,3,3,3,0,14,4,6,6,7.666667,3.333333
20,0,0,-1,5,5,3,2,1,2,0,3,5,4,2,3
22,0,0,18,4,4,2,4,0,0,0,0,1,0,0.3333333,0
23,1,0,19,5,5,1,4,0,0,0,0,16,5,5.333333,1.666667
24,0,1,18,3,2,3,4,0,0,0,2,2,1,0.6666667,1
25,1,1,21,2,1,1,3,7,0,2,7,10,6,6.333333,4.333333
26,0,1,19,1,1,1,2,0,2,16,8,7,1,7.666667,3.666667
27,1,1,20,1,1,1,2,2,1,7,5,7,8,5.333333,4.666667
28,1,0,21,4,4,1,4,0,0,0,0,0,0,0,0
29,0,1,19,1,1,1,2,0,0,0,6,2,11,0.6666667,5.666667
30,1,1,19,1,1,1,5,2,2,2,3,3,7,2.333333,4
