SubjectID,Condition,Gender,Age,GamingExperience,FPSGameExperience,VRExperience,GoodAtMaze,WalkingEasyTime1,WalkingEasyTime2,WalkingMediumTime1,WalkingMediumTime2,WalkingHardTime1,WalkingHardTime2,SegwayEasyTime1,SegwayEasyTime2,SegwayMediumTime1,SegwayMediumTime2,SegwayHardTime1,SegwayHardTime2,SurfingEasyTime1,SurfingEasyTime2,SurfingMediumTime1,SurfingMediumTime2,SurfingHardTime1,SurfingHardTime2,WalkingTime1,WalkingTime2,SegwayTime1,SegwayTime2,SurfingTime1,SurfingTime2
0,0,0,35,3,3,1,4,20.4843,16.65619,20.2489,14.17377,17.31039,16.23584,31.70258,28.76801,67.36301,70.2085,65.66391,73.95221,8.375397,9.709534,8.955109,8.56842,12.8409,25.74524,19.34786,15.6886,54.90983,57.6429,10.05713,14.6744
1,1,0,32,6,2,1,4,35.94031,15.65533,24.65817,13.85352,18.70399,29.44867,43.6694,39.85889,62.66562,116.2869,88.7426,93.11078,26.46561,24.96429,51.5538,24.50391,25.24058,24.40381,26.43416,19.65251,65.02587,83.08552,34.41999,24.624
2,0,0,18,5,4,4,5,10.2222,13.974,9.582108,10.7511,8.1017,11.87195,28.8862,22.54199,58.66769,50.16888,55.4295,53.0918,14.39209,9.929749,10.99411,18.91803,18.2639,8.80896,9.302002,12.19902,47.66113,41.93422,14.55003,12.55225
3,1,1,19,2,1,1,4,19.98901,16.396,29.7037,16.53601,29.8436,22.34204,54.8898,29.12903,82,62.82129,84.02191,78.27631,2.142151,24.76428,30.3075,30.16895,34.04129,27.74695,26.51211,18.42468,73.63724,56.74221,22.16364,27.56006
4,0,0,20,4,4,1,4,9.982208,9.949707,9.081894,9.208984,12.76271,9.809448,26.0455,22.06158,50.39899,48.90765,51.3118,50.19238,8.555298,8.415375,9.035004,22.33438,8.975098,10.69037,10.60894,9.656047,42.58543,40.38721,8.855133,13.81337
5,1,0,21,5,4,2,4,18.10999,16.05554,18.13411,16.617,19.8842,16.25549,34.86081,20.17975,72.1004,58.87744,69.5936,53.07184,35.9751,27.5069,31.6709,31.59094,27.92459,24.44379,18.70943,16.30935,58.8516,44.04301,31.85686,27.84721
6,0,1,22,2,1,1,2,8.975098,20.44,7.835693,8.408203,10.84239,11.57129,28.6862,28.44781,67.45409,61.6001,65.64389,72.91113,25.1062,15.43506,15.73138,19.89935,17.25052,16.9165,9.217728,13.47316,53.92806,54.31968,19.3627,17.41697
7,1,0,21,3,2,2,4,17.05069,17.59723,12.13339,14.25391,14.263,15.03461,38.2281,22.72217,62.12592,48.5874,58.74771,52.71136,15.5715,15.4751,13.4126,14.33398,14.63199,14.47406,14.48236,15.62858,53.03391,41.34031,14.5387,14.76105
8,0,0,20,5,4,1,4,10.83401,9.794617,7.415894,7.407227,7.216003,6.045898,24.22519,23.08264,53.5714,48.76758,57.64629,50.74945,8.955109,6.864685,7.695709,7.335999,9.274902,7.135986,8.488637,7.749247,45.14762,40.86656,8.641907,7.112223
9,1,0,20,5,4,1,4,17.79022,18.99847,13.57251,14.53424,13.8324,12.49207,18.5098,16.41602,52.98759,44.12311,47.6738,53.11176,15.61139,12.07178,16.371,13.53314,17.61032,17.07672,15.06504,15.34159,39.72373,37.88363,16.5309,14.22721
10,0,1,20,2,2,1,3,16.431,11.8735,14.1322,17.29688,14.05222,13.29291,20.46872,21.56097,44.72951,47.90668,53.19141,53.35205,10.35559,9.849548,13.53259,10.3501,13.4126,10.93481,14.87181,14.15443,39.46321,40.9399,12.43359,10.37815
11,1,1,20,4,4,1,4,23.2027,18.71851,21.2207,13.453,32.63177,17.91699,28.66513,31.81091,87.61191,53.23193,96.38699,63.00098,25.20609,22.94202,22.36194,22.422,26.32568,26.44604,25.68506,16.69617,70.88801,49.34794,24.63124,23.93669
12,0,1,21,4,2,1,4,12.95291,10.8941,10.1944,11.13391,8.515289,10.95401,23.80688,22.66211,54.11029,50.82959,58.1524,54.43311,8.781891,7.467163,8.621796,9.329102,9.174896,11.27798,10.5542,10.99401,45.35653,42.6416,8.859528,9.358083
15,1,1,21,1,1,1,4,30.68988,17.27698,16.51605,23.08301,27.80701,18.63806,38.61737,65.58411,162.2984,94.83301,161.7378,99.297,23.94336,20.56104,29.40381,23.703,31.31061,31.83105,25.00431,19.66602,120.8845,86.57137,28.21926,25.36503
16,0,1,22,4,4,2,3,16.4035,17.41711,11.29382,22.9024,15.27161,20.68011,24.78641,25.5249,53.93039,56.4151,56.00922,56.91571,19.4693,11.79089,22.68489,10.44995,25.32539,11.771,14.32298,20.33321,44.90867,46.28524,22.49319,11.33728
17,1,0,21,4,1,1,3,22.16782,17.91699,21.90802,18.07764,18.1301,26.66595,31.45068,31.37061,72.27051,66.84521,81.0954,61.18024,31.1228,25.66492,31.36279,34.87402,30.6908,27.927,20.73531,20.88686,61.60553,53.13202,31.0588,29.48865
18,0,1,19,4,3,4,2,8.361801,10.27002,15.88339,7.627441,15.34329,8.20813,24.45879,22.58499,50.19241,51.0719,52.0314,53.5722,12.5627,13.31287,9.962097,9.449158,11.3024,9.709473,13.19616,8.701863,42.22754,42.4097,11.27573,10.82383
19,1,0,19,3,3,3,3,20.8844,17.13672,12.95279,12.99261,20.6687,21.56104,32.28229,28.56793,61.09509,67.5058,64.34473,53.01166,23.08728,23.1626,22.34769,24.48376,27.73169,18.99847,18.16863,17.23012,52.57404,49.69513,24.38889,22.21494
20,0,0,-1,5,5,3,2,12.0426,9.449158,13.1629,10.65039,17.6512,16.9165,22.6676,20.53998,47.15408,44.94391,49.05301,50.76965,24.0867,35.33447,31.10291,25.54492,31.86252,27.24664,14.28557,12.33868,39.6249,38.75118,29.01737,29.37535
22,0,0,18,4,4,2,4,8.881897,8.688354,7.901688,9.148926,10.1022,5.225098,25.8855,24.604,52.66312,54.27289,59.30737,58.67447,8.475311,9.394897,9.3349,11.35095,14.33218,8.508301,8.961929,7.687459,45.952,45.85045,10.71413,9.751384
23,1,0,19,5,5,1,4,15.11481,25.18494,15.01459,15.53503,20.17957,18.81897,58.39703,43.28198,77.43555,113.871,159.1353,133.53,26.86707,26.18604,32.97192,22.06201,23.2627,22.302,16.76965,19.84631,98.32263,96.89433,27.70056,23.51668
24,0,1,18,3,2,3,4,10.49432,12.0918,11.01389,5.765564,11.18239,6.706543,25.64549,23.38281,55.8093,50.24908,56.34912,60.39893,11.71359,14.97473,16.57092,10.4903,12.69299,11.37109,10.89687,8.187968,45.93464,44.67694,13.65917,12.27871
25,1,1,21,2,1,1,3,32.67188,24.86401,33.53271,30.229,39.6582,36.396,98.9256,17.63696,90.07608,83.16101,104.9624,89.66699,52.29114,41.16003,36.99615,34.073,34.31348,22.78198,35.2876,30.49634,97.98803,63.48832,41.20026,32.67167
26,0,1,19,1,1,1,2,14.63199,9.929749,9.554718,8.027893,11.83353,8.047913,23.84311,24.42383,54.0316,47.44629,52.57111,50.90967,17.6503,31.25055,15.59152,17.9375,18.38992,20.6601,12.00674,8.668518,43.48194,40.92659,17.21058,23.28271
27,1,1,20,1,1,1,2,20.21967,18.46979,18.87836,17.87009,37.69684,27.08508,41.47598,38.88329,98.38599,95.21403,80.21832,90.4993,43.96295,30.6232,20.21973,33.1817,25.08447,25.42599,25.59829,21.14165,73.3601,74.86554,29.75572,29.74363
28,1,0,21,4,4,1,4,22.8623,20.98849,21.36078,25.7659,23.76318,21.76801,51.91064,36.0802,115.9457,107.9631,172.0655,115.3308,22.10162,24.93019,20.53998,23.84689,22.78235,20.7486,22.66209,22.8408,113.3073,86.45805,21.80798,23.17523
29,0,1,19,1,1,1,2,14.89182,15.05469,18.5697,15.31488,14.21219,19.5791,21.12839,22.72223,49.31531,50.5293,57.5923,57.51611,45.27512,14.37402,33.30173,22.16156,22.9274,18.7984,15.89124,16.64956,42.67867,43.58921,33.83475,18.44466
30,1,1,19,1,1,1,5,22.56201,16.99597,27.28656,18.43799,16.65619,16.03503,41.22021,32.27197,63.3728,79.51697,82.4147,57.37598,31.74249,22.98303,33.88138,21.20105,20.80029,18.19702,22.16825,17.15633,62.33591,56.38831,28.80805,20.7937
