SubjectID,Condition,Level,Pass,#Colllision
0,0,1,0,0
0,0,1,1,0
0,0,2,0,2
0,0,2,1,8
0,0,3,0,6
0,0,3,1,2
1,1,1,0,0
1,1,1,1,0
1,1,2,0,7
1,1,2,1,1
1,1,3,0,0
1,1,3,1,0
2,0,1,0,0
2,0,1,1,0
2,0,2,0,6
2,0,2,1,0
2,0,3,0,0
2,0,3,1,1
3,1,1,0,1
3,1,1,1,1
3,1,2,0,0
3,1,2,1,0
3,1,3,0,0
3,1,3,1,1
4,0,1,0,0
4,0,1,1,0
4,0,2,0,0
4,0,2,1,0
4,0,3,0,0
4,0,3,1,1
5,1,1,0,0
5,1,1,1,0
5,1,2,0,0
5,1,2,1,2
5,1,3,0,0
5,1,3,1,2
6,0,1,0,0
6,0,1,1,0
6,0,2,0,0
6,0,2,1,0
6,0,3,0,0
6,0,3,1,1
7,1,1,0,0
7,1,1,1,4
7,1,2,0,0
7,1,2,1,14
7,1,3,0,7
7,1,3,1,7
8,0,1,0,0
8,0,1,1,0
8,0,2,0,0
8,0,2,1,0
8,0,3,0,3
8,0,3,1,0
9,1,1,0,0
9,1,1,1,0
9,1,2,0,0
9,1,2,1,0
9,1,3,0,1
9,1,3,1,4
10,0,1,0,2
10,0,1,1,4
10,0,2,0,6
10,0,2,1,11
10,0,3,0,17
10,0,3,1,14
11,1,1,0,0
11,1,1,1,0
11,1,2,0,0
11,1,2,1,0
11,1,3,0,3
11,1,3,1,2
12,0,1,0,0
12,0,1,1,1
12,0,2,0,2
12,0,2,1,4
12,0,3,0,0
12,0,3,1,2
15,1,1,0,2
15,1,1,1,0
15,1,2,0,10
15,1,2,1,1
15,1,3,0,14
15,1,3,1,2
16,0,1,0,1
16,0,1,1,1
16,0,2,0,1
16,0,2,1,0
16,0,3,0,0
16,0,3,1,0
17,1,1,0,0
17,1,1,1,0
17,1,2,0,1
17,1,2,1,0
17,1,3,0,4
17,1,3,1,0
18,0,1,0,0
18,0,1,1,0
18,0,2,0,0
18,0,2,1,1
18,0,3,0,0
18,0,3,1,0
19,1,1,0,3
19,1,1,1,0
19,1,2,0,14
19,1,2,1,4
19,1,3,0,6
19,1,3,1,6
20,0,1,0,1
20,0,1,1,2
20,0,2,0,0
20,0,2,1,3
20,0,3,0,5
20,0,3,1,4
22,0,1,0,0
22,0,1,1,0
22,0,2,0,0
22,0,2,1,0
22,0,3,0,1
22,0,3,1,0
23,1,1,0,0
23,1,1,1,0
23,1,2,0,0
23,1,2,1,0
23,1,3,0,16
23,1,3,1,5
24,0,1,0,0
24,0,1,1,0
24,0,2,0,0
24,0,2,1,2
24,0,3,0,2
24,0,3,1,1
25,1,1,0,7
25,1,1,1,0
25,1,2,0,2
25,1,2,1,7
25,1,3,0,10
25,1,3,1,6
26,0,1,0,0
26,0,1,1,2
26,0,2,0,16
26,0,2,1,8
26,0,3,0,7
26,0,3,1,1
27,1,1,0,2
27,1,1,1,1
27,1,2,0,7
27,1,2,1,5
27,1,3,0,7
27,1,3,1,8
28,1,1,0,0
28,1,1,1,0
28,1,2,0,0
28,1,2,1,0
28,1,3,0,0
28,1,3,1,0
29,0,1,0,0
29,0,1,1,0
29,0,2,0,0
29,0,2,1,6
29,0,3,0,2
29,0,3,1,11
30,1,1,0,2
30,1,1,1,2
30,1,2,0,2
30,1,2,1,3
30,1,3,0,3
30,1,3,1,7
